StateWellNumber,WellDepth_x,LatitudeDD_x,LongitudeDD_x,TEMPERATURE_CELSIUS,SPECIFIC CONDUCTANCE,PH,ALKALINITY,PHOSPHORUS_DIS,HARDNESS_total,CALCIUM_DIS,MAGNESIUM_DIS,SODIUM_DIS,SODIUM_AD_RAT_SAR,SODIUM_%,POTASSIUM_DIS,CHLORIDE_DIS,SULFATE_DIS,SILICA_DIS,ARSENIC_DIS,Mn_DIS,STRONTIUM_DIS,TOTAL DISSOLVED SOLIDS,WellDepth_y,LatitudeDD_y,LongitudeDD_y,WaterLevel,LatitudeDD,LongitudeDD,claytotal_l,claytotal_r,claytotal_h,chtexture_OBJECTID,chtexture_texcl,FLUORIDE_DIS,Y_value,tex_index
5533403,175,30.42,-100.984722,23.7,491,6.835,233.5,0.02,241.5,68.85,16.8,8.475,0.23,7,0.875,11.645,8.935,18.35,2.02,1.01,297.5,283,175,30.42,-100.984722,151.0778125,30.42,-100.98,30,37.5,45,98461,Silty clay,0.305,0,9
5534904,305,30.4108889,-100.7733333,21.9,603,6.84,299,0.02,288.518,80,21.2,12.1,0.311,8.404,1.84,19.4,9.84,16.7,2,1,1230,342.067,305,30.4108889,-100.7733333,123,30.41,-100.77,25,35,45,107476,Clay loam,0.344,0,2
5541706,282,30.283889,-100.958612,22.5,516,7.14,229,,264,78.1,16.5,7.88,0.21,6,2.01,12.8,19.4,18,2.04,1.02,964,308,282,30.283889,-100.958612,123,30.28,-100.96,20,26,35,115406,Silt loam,0.35,0,8
5557801,250,30.017778,-100.925278,23,464,7.14,205,,229,73.3,11,6.69,0.19,6,1.34,12.8,6.19,17.1,2.04,1.02,306,263,250,30.017778,-100.925278,180,30.02,-100.93,20,26,35,115406,Silt loam,0.21,0,8
5561904,310,30.013875,-100.4017417,22.5,394.3333333,7.296666667,185.3333333,0.059,209.6666667,66.43333333,10.63333333,7.9,0.233333333,7.333333333,1.016666667,14,6.98,12.7,1.666666667,1,135,242.3333333,310,30.013875,-100.4017417,318.72,30.01,-100.4,35,40,45,115536,Silty clay,0.266666667,0,9
5648103,180,30.33525,-99.1238056,20.23333333,630.3333333,7.093333333,272.6666667,0.02,315.983,89.53333333,22.36666667,42,1.029,22.41266667,1.07,55.63333333,21.76666667,17.46666667,1.713333333,1,202,433.7646667,180,30.33525,-99.1238056,117.53,30.34,-99.12,30,39,50,111797,Clay,0.255333333,0,1
5648504,180,30.331111,-99.081111,20.9,609,7.16,272,,295,76.3,25.4,16.7,0.42,10,0.88,29.4,8.65,15.8,2,1,477,344,180,30.331111,-99.081111,100,30.33,-99.08,35,45,55,111755,Clay loam,0.29,0,2
5658602,175,30.0691167,-99.7868722,21.4,442.3333333,7.13,207,0.02,227.6666667,73.06666667,10.9,5.936666667,0.166666667,5,1.463333333,11.97666667,6.066666667,13.2,1.666666667,1,176,260.3333333,175,30.0691167,-99.7868722,171.41375,30.07,-99.79,40,50,60,115517,Clay,0.15,0,1
6902501,175,29.930555,-99.811112,23,402,7.03,181,,178,56.9,8.96,4.03,0.13,4,0.68,9.33,5.75,12.5,2,1,112,217,175,29.930555,-99.811112,135.05,29.93,-99.81,35,40,45,115536,Silty clay,0.11,0,9
7007901,418,29.9040833,-100.1445278,20.9,401,7.15,156,,181,40.9,19.2,10.9,0.35,11,1.6,18.3,5.38,16.3,2,8.55,113,222,418,29.9040833,-100.1445278,341.1244444,29.9,-100.14,35,40,45,115536,Silty clay,0.93,1,9
